Пол;Возраст;Регион;Количество детей;Трудоустроен;Годовой доход;Отрасль
м;20;Республика Саха(Якутия);0;1;1205841;Товары народного потребления (непищевые)
ж;65;Кировская область;1;1;243297;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;87;Республика Калмыкия;1;1;1596936;Услуги для бизнеса
ж;69;г.Москва;0;0;0;NULL
м;66;Республика Тыва;1;1;934524;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;17;Курганская область;0;0;0;NULL
м;62;Костромская область;0;1;2659524;Финансовый сектор
ж;27;Республика Крым;0;1;62432;Финансовый сектор
ж;24;Республика Дагестан;0;1;1579725;Управление многопрофильными активами
м;55;Еврейская автономная область;2;0;0;NULL
ж;44;Ставропольский край;2;0;0;NULL
ж;70;Республика Северная Осетия - Алания;0;1;970768;Тяжелое машиностроение
ж;31;Республика Северная Осетия - Алания;1;0;0;NULL
ж;49;Мурманская область;0;0;0;NULL
м;73;Республика Дагестан;1;1;1547730;Тяжелое машиностроение
м;43;Хабаровский край;1;0;0;NULL
ж;29;Чукотский автономный округ;1;0;0;NULL
ж;78;Ярославская область;0;1;1383032;Услуги для населения
м;60;Ханты - Мансийский автономный округ - Югра;2;0;0;NULL
ж;66;Курская область;0;0;0;NULL
м;39;Удмуртская Республика;0;1;55146;Добывающая отрасль
ж;35;Республика Северная Осетия - Алания;1;0;0;NULL
м;26;Республика Бурятия;1;0;0;NULL
ж;83;Чукотский автономный округ;2;1;367625;Розничная торговля
м;69;Иркутская область;1;1;704130;Розничная торговля
ж;27;Ненецкий автономный округ;0;1;433216;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;74;Ивановская область;2;0;0;NULL
м;46;Томская область;2;1;428640;Общественная деятельность, партии, благотворительность, НКО
м;70;Московская область;2;0;0;NULL
ж;66;Чукотский автономный округ;0;0;0;NULL
ж;27;Ханты - Мансийский автономный округ - Югра;0;0;0;NULL
ж;18;Вологодская область;1;1;1814652;Искусство, культура
м;36;Саратовская область;2;0;0;NULL
м;31;Амурская область;0;0;0;NULL
м;75;Липецкая область;2;1;1488688;Металлургия, металлообработка
ж;45;Липецкая область;1;1;120160;Тяжелое машиностроение
м;86;Чеченская Республика;2;1;786345;Медицина, фармацевтика, аптеки
ж;50;Иркутская область;0;0;0;NULL
ж;35;Волгоградская область;2;0;0;NULL
м;17;Астраханская область;2;1;498372;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;65;Брянская область;2;0;0;NULL
ж;39;Пензенская область;2;1;106398;Нефть и газ
ж;88;Орловская область;1;1;55561;Промышленное оборудование, техника, станки и комплектующие
м;41;Республика Башкортостан;1;1;763854;ЖКХ
ж;63;Чувашская Республика - Чувашия;0;1;222255;Услуги для населения
ж;53;Ханты - Мансийский автономный округ - Югра;0;0;0;NULL
ж;41;Пензенская область;2;1;37998;Сельское хозяйство
ж;50;Брянская область;2;1;122184;Лесная промышленность, деревообработка
м;75;Республика Карелия;0;1;510160;Финансовый сектор
ж;21;Ненецкий автономный округ;1;1;895048;Информационные технологии, системная интеграция, интернет
м;15;Республика Коми;1;1;1092720;Сельское хозяйство
м;26;Мурманская область;1;0;0;NULL
ж;59;Челябинская область;0;1;882326;Энергетика
м;45;Орловская область;1;1;1192752;Телекоммуникации, связь
м;81;Костромская область;2;0;0;NULL
м;60;Иркутская область;1;1;642432;Перевозки, логистика, склад, ВЭД
м;66;Кемеровская область;2;0;0;NULL
м;29;Вологодская область;0;1;274566;Телекоммуникации, связь
м;70;Брянская область;2;0;0;NULL
м;18;Ростовская область;1;0;0;NULL
м;14;Карачаево - Черкесская Республика;1;1;727860;Общественная деятельность, партии, благотворительность, НКО
м;18;Кемеровская область;2;1;1658046;Государственные организации
ж;28;Орловская область;2;0;0;NULL
ж;42;Нижегородская область;1;0;0;NULL
ж;86;Чукотский автономный округ;1;1;1886208;Химическое производство, удобрения
м;45;Воронежская область;0;0;0;NULL
м;20;Республика Хакасия;2;1;1834920;Образовательные учреждения
ж;83;Нижегородская область;0;0;0;NULL
ж;28;Кабардино - Балкарская Республика;1;1;137636;Строительство, недвижимость, эксплуатация, проектирование
м;81;Пермский край;0;0;0;NULL
ж;75;Омская область;1;0;0;NULL
м;26;Тюменская область;1;1;1338528;Химическое производство, удобрения
ж;41;Республика Дагестан;2;1;41520;Управление многопрофильными активами
ж;33;Республика Тыва;1;1;714000;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;71;Смоленская область;1;0;0;NULL
м;63;Московская область;0;1;478975;Перевозки, логистика, склад, ВЭД
м;16;Республика Мордовия;1;0;0;NULL
ж;81;Чеченская Республика;1;0;0;NULL
ж;61;Курская область;2;0;0;NULL
ж;38;Псковская область;2;1;54810;Услуги для населения
ж;43;Ставропольский край;1;1;73722;Гостинницы, рестораны, общепит, кейтеринг
ж;17;Ненецкий автономный округ;1;0;0;NULL
ж;50;Республика Башкортостан;1;0;0;NULL
ж;68;Алтайский край;0;0;0;NULL
м;27;Республика Марий Эл;0;0;0;NULL
м;23;Ростовская область;1;0;0;NULL
м;73;Тверская область;2;0;0;NULL
м;55;Новгородская область;0;0;0;NULL
ж;83;Новгородская область;0;1;941531;Розничная торговля
ж;69;Республика Бурятия;1;0;0;NULL
м;88;Ульяновская область;2;0;0;NULL
м;50;Томская область;0;1;491750;Образовательные учреждения
м;28;Тверская область;1;0;0;NULL
м;77;Ставропольский край;1;1;710600;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;76;Республика Тыва;2;1;136686;Телекоммуникации, связь
м;62;Хабаровский край;1;0;0;NULL
ж;41;Рязанская область;0;1;2705890;Лесная промышленность, деревообработка
м;24;Кировская область;0;0;0;NULL
ж;80;Брянская область;2;0;0;NULL
м;42;Липецкая область;0;1;787338;Тяжелое машиностроение
ж;50;Липецкая область;1;0;0;NULL
ж;52;Оренбургская область;1;0;0;NULL
м;64;Ленинградская область;2;0;0;NULL
м;17;Брянская область;0;0;0;NULL
ж;29;Чеченская Республика;1;0;0;NULL
ж;71;Архангельская область;1;1;103160;Автомобильный бизнес
ж;54;Ханты - Мансийский автономный округ - Югра;2;0;0;NULL
ж;44;г.Москва;0;0;0;NULL
ж;25;г.Москва;2;0;0;NULL
м;50;Ставропольский край;2;0;0;NULL
м;36;Самарская область;1;1;350340;Товары народного потребления (непищевые)
ж;71;Республика Хакасия;0;1;938376;Тяжелое машиностроение
м;88;Кировская область;1;1;319059;Металлургия, металлообработка
ж;48;Московская область;2;0;0;NULL
ж;42;Республика Крым;1;1;421685;Химическое производство, удобрения
ж;84;Хабаровский край;2;1;336406;Тяжелое машиностроение
ж;80;Астраханская область;1;0;0;NULL
ж;25;Приморский край;0;0;0;NULL
ж;78;Белгородская область;1;1;367194;Автомобильный бизнес
ж;35;Томская область;2;0;0;NULL
м;46;Карачаево - Черкесская Республика;0;1;112728;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;38;Новосибирская область;0;1;909272;Финансовый сектор
м;64;Республика Калмыкия;2;0;0;NULL
м;33;Республика Мордовия;0;0;0;NULL
ж;73;Архангельская область;2;0;0;NULL
м;80;Забайкальский край;2;1;65246;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;30;Самарская область;1;0;0;NULL
ж;74;Камчатский край;1;1;1390892;Государственные организации
м;63;Республика Татарстан(Татарстан);1;0;0;NULL
ж;88;Чукотский автономный округ;2;1;1671387;ЖКХ
м;54;Приморский край;0;1;209968;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;30;Омская область;2;1;119392;Информационные технологии, системная интеграция, интернет
ж;81;Кемеровская область;2;1;686510;Услуги для бизнеса
м;34;Свердловская область;2;1;938654;Энергетика
м;39;Республика Бурятия;2;1;11210;Телекоммуникации, связь
м;36;Ненецкий автономный округ;2;1;120384;Строительство, недвижимость, эксплуатация, проектирование
ж;35;Самарская область;0;1;1220242;Медицина, фармацевтика, аптеки
м;86;Республика Бурятия;1;0;0;NULL
м;52;Республика Мордовия;1;0;0;NULL
м;86;Самарская область;2;0;0;NULL
м;22;Республика Северная Осетия - Алания;0;1;463676;Товары народного потребления (непищевые)
ж;65;Республика Хакасия;1;1;2041480;Энергетика
м;69;г.Москва;2;1;377923;Телекоммуникации, связь
ж;50;Кировская область;1;0;0;NULL
м;22;Московская область;1;0;0;NULL
ж;70;Республика Башкортостан;2;0;0;NULL
ж;47;Ростовская область;1;0;0;NULL
ж;18;Липецкая область;0;1;113492;Добывающая отрасль
м;26;Новосибирская область;0;0;0;NULL
ж;59;Кировская область;2;0;0;NULL
м;71;Хабаровский край;1;0;0;NULL
м;80;Владимирская область;0;0;0;NULL
м;62;Сахалинская область;2;0;0;NULL
ж;26;Ямало - Ненецкий автономный округ;2;1;746505;Металлургия, металлообработка
ж;26;Архангельская область;0;0;0;NULL
м;60;Республика Крым;0;1;322715;Товары народного потребления (непищевые)
м;53;Пермский край;1;1;830144;Нефть и газ
ж;23;Республика Башкортостан;2;1;140824;Добывающая отрасль
м;83;Пензенская область;1;1;1496460;Автомобильный бизнес
ж;15;Оренбургская область;0;0;0;NULL
м;48;Сахалинская область;1;1;186875;ЖКХ
м;78;Омская область;0;0;0;NULL
м;27;Омская область;1;1;2212350;Розничная торговля
м;55;Нижегородская область;2;1;653759;Государственные организации
ж;65;Псковская область;2;1;475101;Нефть и газ
м;15;Пензенская область;2;0;0;NULL
м;45;Липецкая область;1;1;267130;Лесная промышленность, деревообработка
ж;86;Республика Хакасия;1;1;950367;Тяжелое машиностроение
ж;59;Забайкальский край;0;1;45918;Сельское хозяйство
ж;86;Севастополь;2;0;0;NULL
м;29;Томская область;0;1;634260;Информационные технологии, системная интеграция, интернет
ж;60;Республика Мордовия;2;0;0;NULL
м;61;Псковская область;0;1;172800;Услуги для населения
м;17;Республика Ингушетия;2;1;1095182;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;40;Архангельская область;1;0;0;NULL
ж;18;Кировская область;2;1;308788;Услуги для населения
м;46;Калининградская область;1;0;0;NULL
ж;28;Сахалинская область;2;1;1369350;Лесная промышленность, деревообработка
м;20;Ивановская область;2;0;0;NULL
м;85;Республика Алтай;1;1;1193582;Тяжелое машиностроение
м;59;Смоленская область;2;1;116901;Государственные организации
м;52;Калининградская область;0;1;393920;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;62;Республика Калмыкия;2;1;854590;Управление многопрофильными активами
м;64;Чукотский автономный округ;1;1;836380;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;47;Ханты - Мансийский автономный округ - Югра;2;0;0;NULL
м;63;Ямало - Ненецкий автономный округ;1;1;812150;Услуги для населения
ж;17;Республика Алтай;2;0;0;NULL
м;66;Санкт - Петербург;2;1;17622;Тяжелое машиностроение
м;88;Свердловская область;1;1;1401246;Продукты питания
ж;37;Калужская область;1;0;0;NULL
м;86;Ярославская область;0;0;0;NULL
ж;38;Ивановская область;2;0;0;NULL
ж;74;Новосибирская область;0;1;2478717;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;82;Новгородская область;2;1;29576;Телекоммуникации, связь
м;43;Курская область;1;0;0;NULL
м;26;Забайкальский край;2;1;2556540;Финансовый сектор
ж;54;Томская область;2;1;252396;Добывающая отрасль
ж;69;Иркутская область;2;0;0;NULL
ж;29;Свердловская область;1;0;0;NULL
м;71;Оренбургская область;1;1;966799;Автомобильный бизнес
ж;54;Республика Алтай;1;1;246708;Образовательные учреждения
м;82;Иркутская область;2;1;258320;Автомобильный бизнес
ж;78;Псковская область;1;1;176548;Товары народного потребления (непищевые)
м;57;Иные территории, включая город и космодром Байконур;0;1;284515;Строительство, недвижимость, эксплуатация, проектирование
ж;40;Курская область;0;1;345198;Тяжелое машиностроение
ж;84;Белгородская область;1;1;1183446;Нефть и газ
м;80;Калужская область;1;0;0;NULL
ж;50;Саратовская область;0;0;0;NULL
м;30;Алтайский край;1;1;903960;ЖКХ
ж;23;Республика Бурятия;0;1;847040;Медицина, фармацевтика, аптеки
м;60;Сахалинская область;0;0;0;NULL
ж;14;Республика Бурятия;2;1;564300;Строительство, недвижимость, эксплуатация, проектирование
м;83;Свердловская область;1;1;457584;Услуги для населения
м;15;Кабардино - Балкарская Республика;2;0;0;NULL
м;34;Томская область;1;0;0;NULL
ж;19;Забайкальский край;0;1;2278319;Общественная деятельность, партии, благотворительность, НКО
ж;64;Тамбовская область;2;1;1681860;Товары народного потребления (непищевые)
м;15;Республика Крым;2;0;0;NULL
м;71;Костромская область;1;1;980232;Энергетика
ж;38;Сахалинская область;1;0;0;NULL
ж;37;Белгородская область;0;0;0;NULL
ж;20;Оренбургская область;2;1;1092825;Государственные организации
м;39;Белгородская область;0;0;0;NULL
м;66;Саратовская область;1;1;1229300;Автомобильный бизнес
ж;23;Оренбургская область;1;1;1569384;Продукты питания
м;36;Ставропольский край;0;0;0;NULL
м;72;Иные территории, включая город и космодром Байконур;2;0;0;NULL
м;19;Липецкая область;2;1;1146019;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;31;Челябинская область;1;0;0;NULL
ж;52;Калининградская область;0;1;64960;Управление многопрофильными активами
ж;51;Тамбовская область;2;0;0;NULL
м;57;Белгородская область;2;1;1452528;Финансовый сектор
м;27;Самарская область;1;0;0;NULL
м;85;Ярославская область;0;1;74874;Добывающая отрасль
м;58;Ханты - Мансийский автономный округ - Югра;1;0;0;NULL
ж;63;Еврейская автономная область;0;1;2051280;Автомобильный бизнес
м;71;Республика Калмыкия;2;1;1394408;Перевозки, логистика, склад, ВЭД
ж;66;Ленинградская область;2;1;325754;Химическое производство, удобрения
ж;62;Красноярский край;0;1;2785368;Строительство, недвижимость, эксплуатация, проектирование
ж;32;Ульяновская область;1;0;0;NULL
м;79;Томская область;2;1;32164;Промышленное оборудование, техника, станки и комплектующие
ж;62;Новосибирская область;0;1;2025280;Перевозки, логистика, склад, ВЭД
м;35;Самарская область;1;1;799470;Нефть и газ
м;76;Тюменская область;0;0;0;NULL
ж;43;Ненецкий автономный округ;1;0;0;NULL
м;72;Карачаево - Черкесская Республика;1;0;0;NULL
ж;75;Краснодарский край;1;0;0;NULL
ж;62;Челябинская область;0;1;632448;Розничная торговля
ж;66;Амурская область;1;1;330854;Продукты питания
м;61;Липецкая область;0;1;1221483;Медицина, фармацевтика, аптеки
м;43;Владимирская область;0;1;542202;Медицина, фармацевтика, аптеки
ж;48;Ненецкий автономный округ;1;0;0;NULL
м;80;Ханты - Мансийский автономный округ - Югра;1;0;0;NULL
ж;60;Республика Ингушетия;0;1;114021;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
ж;76;Тюменская область;2;0;0;NULL
м;88;Смоленская область;0;0;0;NULL
м;66;Оренбургская область;0;1;348660;Розничная торговля
м;54;Саратовская область;0;0;0;NULL
м;20;Санкт - Петербург;1;1;810750;Искусство, культура
м;19;Приморский край;2;1;46710;Гостинницы, рестораны, общепит, кейтеринг
м;64;Республика Бурятия;2;1;1114107;Телекоммуникации, связь
ж;28;Пензенская область;1;1;1000818;Товары народного потребления (непищевые)
ж;57;Ярославская область;0;0;0;NULL
ж;17;Республика Ингушетия;1;1;33924;Перевозки, логистика, склад, ВЭД
ж;19;Иркутская область;1;0;0;NULL
ж;75;Республика Алтай;2;0;0;NULL
м;28;Воронежская область;0;1;1987403;Общественная деятельность, партии, благотворительность, НКО
м;30;Республика Карелия;0;1;1408206;Нефть и газ
м;69;Республика Коми;2;1;509883;Сельское хозяйство
м;36;Курганская область;2;0;0;NULL
м;46;Республика Марий Эл;1;1;16719;Розничная торговля
ж;41;Астраханская область;1;0;0;NULL
ж;73;Республика Карелия;2;0;0;NULL
м;29;Республика Саха(Якутия);1;0;0;NULL
ж;61;Псковская область;1;1;250545;Товары народного потребления (непищевые)
м;18;Кировская область;2;0;0;NULL
м;55;Республика Северная Осетия - Алания;1;1;263710;Энергетика
м;34;Камчатский край;2;0;0;NULL
ж;16;Ставропольский край;2;0;0;NULL
ж;56;Пермский край;0;1;720775;Товары народного потребления (непищевые)
м;79;Тульская область;2;1;197701;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;51;г.Москва;2;1;145395;Тяжелое машиностроение
м;27;Челябинская область;0;0;0;NULL
м;79;Забайкальский край;1;1;147976;Промышленное оборудование, техника, станки и комплектующие
м;60;Курганская область;0;1;1235220;Металлургия, металлообработка
ж;29;Республика Мордовия;2;1;433296;Перевозки, логистика, склад, ВЭД
м;78;Республика Ингушетия;2;1;7182;Металлургия, металлообработка
м;30;Амурская область;0;1;103216;Финансовый сектор
м;57;Кабардино - Балкарская Республика;1;1;2430948;Государственные организации
м;35;Республика Крым;2;0;0;NULL
м;66;Новгородская область;0;1;2450070;Автомобильный бизнес
м;41;Курская область;2;1;466990;Финансовый сектор
м;23;Республика Дагестан;1;1;2123136;Добывающая отрасль
ж;61;Республика Марий Эл;0;0;0;NULL
ж;50;Брянская область;2;0;0;NULL
м;45;Республика Адыгея(Адыгея);2;1;2232186;Автомобильный бизнес
м;46;Архангельская область;2;1;793182;ЖКХ
м;75;Тульская область;1;1;2065664;Искусство, культура
ж;18;Республика Тыва;0;1;506088;Промышленное оборудование, техника, станки и комплектующие
ж;53;Республика Адыгея(Адыгея);1;0;0;NULL
ж;20;Пензенская область;0;0;0;NULL
м;19;Чеченская Республика;2;1;468627;Искусство, культура
ж;30;Забайкальский край;1;0;0;NULL
ж;40;Краснодарский край;2;1;84240;Товары народного потребления (непищевые)
м;75;Самарская область;1;1;495876;Телекоммуникации, связь
м;19;Липецкая область;1;1;2282127;Информационные технологии, системная интеграция, интернет
м;83;Владимирская область;2;0;0;NULL
м;37;Республика Карелия;1;1;1231447;Автомобильный бизнес
м;43;Калужская область;0;0;0;NULL
м;37;Липецкая область;0;0;0;NULL
м;15;Рязанская область;0;0;0;NULL
м;61;Воронежская область;1;0;0;NULL
ж;26;Свердловская область;1;0;0;NULL
ж;59;Кировская область;1;1;1201860;Гостинницы, рестораны, общепит, кейтеринг
м;31;Магаданская область;2;1;2325030;Услуги для бизнеса
ж;43;Смоленская область;2;1;773227;Химическое производство, удобрения
м;38;Республика Крым;0;0;0;NULL
м;28;Иркутская область;0;1;812409;Телекоммуникации, связь
м;39;Брянская область;2;1;94605;Тяжелое машиностроение
ж;68;Тульская область;2;0;0;NULL
м;31;Псковская область;1;0;0;NULL
м;67;Вологодская область;0;1;136752;Продукты питания
м;33;Алтайский край;0;1;620400;Промышленное оборудование, техника, станки и комплектующие
ж;17;Республика Калмыкия;2;1;207712;Искусство, культура
м;52;Республика Мордовия;0;0;0;NULL
ж;85;Камчатский край;2;0;0;NULL
м;21;Республика Дагестан;0;1;807222;Искусство, культура
ж;69;Чукотский автономный округ;0;1;2583726;Химическое производство, удобрения
ж;76;Брянская область;0;0;0;NULL
м;41;Кемеровская область;0;0;0;NULL
м;58;Республика Крым;1;0;0;NULL
м;21;Приморский край;2;0;0;NULL
м;26;Чеченская Республика;1;1;943992;Розничная торговля
ж;34;Ленинградская область;1;0;0;NULL
м;38;Республика Коми;1;1;27072;Искусство, культура
ж;59;Амурская область;0;0;0;NULL
м;59;Магаданская область;0;0;0;NULL
м;82;Республика Марий Эл;1;0;0;NULL
ж;27;Ставропольский край;2;1;567700;Химическое производство, удобрения
м;30;Ненецкий автономный округ;2;0;0;NULL
ж;43;Ненецкий автономный округ;0;1;1952560;Информационные технологии, системная интеграция, интернет
ж;47;Вологодская область;1;1;815970;Строительство, недвижимость, эксплуатация, проектирование
м;75;Красноярский край;1;1;2396790;Финансовый сектор
м;38;Курская область;1;1;2671956;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;40;Калининградская область;1;0;0;NULL
м;87;Сахалинская область;0;1;2517967;Добывающая отрасль
м;61;Республика Хакасия;1;0;0;NULL
м;46;Сахалинская область;0;0;0;NULL
ж;64;Рязанская область;2;1;15719;Добывающая отрасль
ж;30;Московская область;0;0;0;NULL
м;36;Орловская область;1;1;41063;Промышленное оборудование, техника, станки и комплектующие
м;29;Свердловская область;2;1;2603627;ЖКХ
ж;64;Ивановская область;1;0;0;NULL
ж;23;Алтайский край;0;0;0;NULL
ж;66;Пермский край;0;0;0;NULL
ж;38;Приморский край;0;0;0;NULL
ж;35;Республика Адыгея(Адыгея);2;1;146010;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;73;Московская область;2;0;0;NULL
ж;33;Магаданская область;2;0;0;NULL
м;87;Ямало - Ненецкий автономный округ;2;1;1599592;Автомобильный бизнес
м;26;Тульская область;1;1;273798;Промышленное оборудование, техника, станки и комплектующие
м;15;Смоленская область;2;1;404535;Товары народного потребления (непищевые)
ж;75;Брянская область;0;0;0;NULL
ж;38;Пермский край;2;0;0;NULL
ж;88;Пензенская область;2;0;0;NULL
ж;60;Рязанская область;2;0;0;NULL
м;34;Республика Тыва;1;1;1403180;Общественная деятельность, партии, благотворительность, НКО
м;26;Новгородская область;1;1;767970;ЖКХ
м;62;Томская область;2;0;0;NULL
ж;40;Тульская область;1;1;1056842;Нефть и газ
ж;63;Саратовская область;0;0;0;NULL
м;60;Удмуртская Республика;0;0;0;NULL
м;33;Владимирская область;0;1;23198;Сельское хозяйство
м;49;Курская область;1;0;0;NULL
ж;85;Республика Крым;1;0;0;NULL
м;52;Омская область;2;0;0;NULL
м;34;Республика Северная Осетия - Алания;0;0;0;NULL
м;17;Удмуртская Республика;2;1;322440;Добывающая отрасль
м;54;Республика Саха(Якутия);1;0;0;NULL
ж;64;Кемеровская область;0;0;0;NULL
ж;58;Республика Башкортостан;1;0;0;NULL
ж;28;Костромская область;1;1;3276;Розничная торговля
ж;79;Сахалинская область;2;0;0;NULL
ж;21;Алтайский край;1;1;50832;Перевозки, логистика, склад, ВЭД
ж;31;Свердловская область;0;0;0;NULL
м;23;г.Москва;1;1;1160574;Медицина, фармацевтика, аптеки
м;81;Белгородская область;0;0;0;NULL
ж;78;Ямало - Ненецкий автономный округ;2;1;585480;Лесная промышленность, деревообработка
ж;70;Псковская область;0;1;72176;Лесная промышленность, деревообработка
м;31;Республика Татарстан(Татарстан);1;0;0;NULL
ж;69;Республика Дагестан;0;1;132540;Услуги для населения
м;63;Амурская область;2;0;0;NULL
ж;43;Забайкальский край;0;1;806476;Химическое производство, удобрения
ж;63;Хабаровский край;0;0;0;NULL
ж;88;Краснодарский край;0;1;20068;Промышленное оборудование, техника, станки и комплектующие
ж;24;Удмуртская Республика;2;0;0;NULL
м;49;Вологодская область;0;0;0;NULL
м;43;Иркутская область;1;0;0;NULL
ж;88;г.Москва;1;1;7413;Услуги для населения
м;69;Удмуртская Республика;1;1;117196;Медицина, фармацевтика, аптеки
м;45;Республика Тыва;2;1;335730;Добывающая отрасль
ж;49;Владимирская область;1;1;101156;ЖКХ
м;45;Тюменская область;2;1;59450;Государственные организации
м;36;Камчатский край;0;0;0;NULL
ж;85;Рязанская область;2;0;0;NULL
м;26;Рязанская область;1;0;0;NULL
ж;28;Камчатский край;1;1;968825;Продукты питания
ж;30;Приморский край;1;1;1330350;Лесная промышленность, деревообработка
ж;18;Московская область;2;0;0;NULL
м;35;Забайкальский край;0;1;956640;Розничная торговля
м;50;Ростовская область;0;1;52626;Медицина, фармацевтика, аптеки
м;73;Костромская область;2;0;0;NULL
ж;22;Оренбургская область;0;1;629226;Автомобильный бизнес
ж;34;Архангельская область;2;0;0;NULL
м;39;Пензенская область;2;0;0;NULL
м;19;Курская область;2;0;0;NULL
м;40;Амурская область;0;0;0;NULL
м;48;Оренбургская область;2;0;0;NULL
м;80;Пермский край;2;1;1395128;Химическое производство, удобрения
ж;25;Краснодарский край;2;0;0;NULL
м;32;Республика Саха(Якутия);2;0;0;NULL
м;35;Республика Северная Осетия - Алания;2;1;2968750;Розничная торговля
м;18;Курская область;1;1;13034;Промышленное оборудование, техника, станки и комплектующие
м;32;Республика Ингушетия;2;1;512204;Нефть и газ
м;32;Костромская область;1;1;1194872;Добывающая отрасль
м;60;Кемеровская область;1;0;0;NULL
ж;37;Ставропольский край;1;1;1107600;Тяжелое машиностроение
ж;20;Калужская область;0;1;864936;Лесная промышленность, деревообработка
ж;30;Кемеровская область;0;0;0;NULL
м;36;Приморский край;1;0;0;NULL
м;25;Костромская область;2;0;0;NULL
м;67;Республика Ингушетия;0;0;0;NULL
ж;87;Приморский край;1;0;0;NULL
ж;81;Орловская область;2;1;315980;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
ж;25;Республика Карелия;1;0;0;NULL
м;17;Нижегородская область;2;0;0;NULL
м;32;Костромская область;2;0;0;NULL
ж;43;Краснодарский край;1;1;776322;Гостинницы, рестораны, общепит, кейтеринг
ж;29;Севастополь;2;0;0;NULL
ж;58;Иные территории, включая город и космодром Байконур;0;1;312961;Образовательные учреждения
м;16;Саратовская область;2;1;142155;Энергетика
ж;36;г.Москва;1;1;1910298;Промышленное оборудование, техника, станки и комплектующие
м;76;Псковская область;1;0;0;NULL
ж;36;Курганская область;0;0;0;NULL
ж;40;Алтайский край;2;0;0;NULL
м;33;Смоленская область;0;0;0;NULL
м;79;Республика Хакасия;0;0;0;NULL
ж;51;Белгородская область;2;1;798912;Автомобильный бизнес
м;37;Республика Бурятия;0;1;1070552;Химическое производство, удобрения
ж;88;Республика Северная Осетия - Алания;2;1;1319374;Медицина, фармацевтика, аптеки
ж;66;Ханты - Мансийский автономный округ - Югра;2;1;2544674;Искусство, культура
ж;83;Тульская область;1;0;0;NULL
ж;65;Ленинградская область;0;0;0;NULL
м;54;Иркутская область;0;1;372375;Искусство, культура
м;82;Севастополь;2;1;457878;Финансовый сектор
ж;80;Ростовская область;1;0;0;NULL
м;74;Новгородская область;1;0;0;NULL
м;30;Республика Коми;2;1;386490;Лесная промышленность, деревообработка
ж;15;Архангельская область;2;1;1820960;Сельское хозяйство
м;72;Тульская область;2;1;682220;Электроника, приборостроение, бытовая техника, компьютеры и оргтехника
м;53;Республика Ингушетия;1;0;0;NULL
ж;27;Пермский край;0;0;0;NULL
м;16;Мурманская область;1;0;0;NULL
ж;32;Тамбовская область;1;0;0;NULL
ж;52;Челябинская область;0;0;0;NULL
ж;58;Тверская область;1;1;1149774;Добывающая отрасль
ж;44;Краснодарский край;1;0;0;NULL
м;83;Орловская область;0;0;0;NULL
ж;86;Республика Бурятия;2;0;0;NULL
м;68;Еврейская автономная область;0;0;0;NULL
ж;19;Хабаровский край;0;1;5391;Телекоммуникации, связь
ж;70;Ненецкий автономный округ;1;1;331209;СМИ, маркетинг, реклама, BTL, PR, дизайн, продюсирование
м;46;Еврейская автономная область;2;1;1151928;Промышленное оборудование, техника, станки и комплектующие
м;76;Омская область;0;0;0;NULL
м;18;Республика Марий Эл;1;0;0;NULL
ж;22;Ямало - Ненецкий автономный округ;2;0;0;NULL
м;51;Тульская область;0;0;0;NULL
м;80;Курская область;1;1;240336;Автомобильный бизнес
ж;70;Ярославская область;1;1;2169783;Тяжелое машиностроение
м;28;Приморский край;1;0;0;NULL
ж;15;Республика Дагестан;1;1;2912778;Гостинницы, рестораны, общепит, кейтеринг
м;32;Архангельская область;1;0;0;NULL
ж;15;Курская область;1;0;0;NULL
м;81;Амурская область;1;1;963264;Услуги для населения
ж;28;Республика Адыгея(Адыгея);0;0;0;NULL
ж;72;Омская область;2;1;210042;Общественная деятельность, партии, благотворительность, НКО
м;37;Республика Северная Осетия - Алания;2;0;0;NULL
м;18;Тверская область;2;0;0;NULL
ж;43;Рязанская область;2;1;242645;Сельское хозяйство
ж;81;Псковская область;2;0;0;NULL
м;53;Ивановская область;2;1;1358873;Образовательные учреждения
м;39;Орловская область;1;0;0;NULL
м;79;Ненецкий автономный округ;1;0;0;NULL
